,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,30,True,False,33,33.00,4
1,51,True,True,97,97.00,6
2,28,True,False,35,35.00,4
3,35,True,False,50,50.00,4
4,38,True,False,64,64.00,5
5,33,True,False,38,38.00,4
6,20,True,False,13,13.00,3
7,64,True,False,107,107.00,5
8,18,True,False,16,16.00,3
9,33,True,False,30,30.00,4
10,39,True,False,48,48.00,4
11,37,True,False,49,49.00,4
12,53,True,True,97,97.00,6
13,18,True,False,16,16.00,3
14,28,True,False,36,36.00,4
15,50,True,False,78,78.00,5
16,30,True,False,33,33.00,4
17,51,True,False,58,58.00,5
18,43,True,False,71,71.00,5
19,37,True,False,57,57.00,4
20,43,True,False,63,63.00,5
21,36,True,False,63,63.00,5
22,50,True,False,58,58.00,5
23,61,True,True,100,100.00,6
24,38,True,False,58,58.00,4
25,33,True,False,41,41.00,4
26,38,True,False,55,55.00,4
27,31,True,False,32,32.00,4
28,44,True,False,64,64.00,5
29,45,True,False,73,73.00,5
30,49,True,False,70,70.00,5
31,50,True,False,66,66.00,5
32,73,True,True,129,129.00,6
33,47,True,False,77,77.00,5
34,28,True,False,39,39.00,4
35,43,True,False,73,73.00,5
36,23,True,False,32,32.00,4
37,31,True,False,44,44.00,4
38,46,True,True,87,87.00,6
39,26,True,False,36,36.00,4
40,27,True,False,36,36.00,4
41,25,True,False,30,30.00,4
42,52,True,True,98,98.00,6
43,26,True,False,31,31.00,4
44,44,True,True,93,93.00,6
45,37,True,False,44,44.00,4
46,51,True,False,84,84.00,5
47,36,True,False,32,32.00,4
48,39,True,False,63,63.00,5
49,42,True,False,73,73.00,5
50,47,True,False,83,83.00,5
51,56,True,False,78,78.00,5
52,37,True,False,57,57.00,5
53,45,True,False,73,73.00,5
54,42,True,False,75,75.00,5
55,14,True,False,11,11.00,3
56,45,True,False,71,71.00,5
57,47,True,False,76,76.00,5
58,53,True,False,82,82.00,5
59,33,True,False,50,50.00,5
60,46,True,True,93,93.00,6
61,36,True,False,57,57.00,5
62,26,True,False,29,29.00,4
63,42,True,False,62,62.00,5
64,46,True,False,82,82.00,5
65,26,True,False,34,34.00,4
66,65,True,False,82,82.00,5
67,58,True,False,80,80.00,5
68,21,True,False,30,30.00,4
69,39,True,False,30,30.00,4
70,44,True,False,53,53.00,4
71,26,True,False,39,39.00,4
72,39,True,False,60,60.00,5
73,29,True,False,18,18.00,3
74,28,True,False,37,37.00,4
75,41,True,False,70,70.00,5
76,29,True,False,43,43.00,4
77,27,True,False,32,32.00,4
78,46,True,False,43,43.00,4
79,63,True,False,100,100.00,5
80,30,True,False,42,42.00,4
81,44,True,False,80,80.00,5
82,55,True,False,80,80.00,5
83,46,True,False,37,37.00,4
84,58,True,False,82,82.00,5
85,46,True,False,66,66.00,5
86,30,True,False,34,34.00,4
87,47,True,False,75,75.00,5
88,44,True,False,71,71.00,5
89,33,True,False,37,37.00,4
90,53,True,False,74,74.00,5
91,22,True,False,28,28.00,3
92,59,True,False,89,89.00,5
93,32,True,False,36,36.00,4
94,38,True,False,58,58.00,5
95,31,True,False,39,39.00,4
96,49,True,False,73,73.00,5
97,38,True,False,63,63.00,5
98,39,True,False,66,66.00,5
99,29,True,False,39,39.00,4
100,44,True,False,69,69.00,5
101,36,True,False,61,61.00,5
102,25,True,False,41,41.00,4
103,49,True,False,71,71.00,5
104,41,True,False,74,74.00,5
105,32,True,False,35,35.00,4
106,46,True,False,64,64.00,4
107,35,True,False,38,38.00,4
108,81,True,True,128,128.00,6
109,44,True,False,73,73.00,5
110,36,True,False,62,62.00,5
111,52,True,False,72,72.00,5
112,37,True,False,50,50.00,4
113,36,True,False,60,60.00,5
114,41,True,False,83,83.00,5
115,30,True,False,37,37.00,4
116,40,True,False,59,59.00,5
117,54,True,False,90,90.00,5
118,43,True,False,74,74.00,5
119,35,True,False,63,63.00,5
120,19,True,False,25,25.00,4
121,35,True,False,50,50.00,4
122,50,True,False,62,62.00,5
123,28,True,False,44,44.00,4
124,54,True,False,84,84.00,5
125,24,True,False,34,34.00,4
126,45,True,False,75,75.00,5
127,27,True,False,37,37.00,4
128,44,True,False,62,62.00,5
129,55,True,False,83,83.00,5
130,46,True,False,57,57.00,4
131,45,True,False,71,71.00,5
132,39,True,False,60,60.00,5
133,43,True,False,36,36.00,4
134,35,True,False,46,46.00,4
135,35,True,False,57,57.00,5
136,66,True,True,95,95.00,6
137,29,True,False,44,44.00,4
138,29,True,False,41,41.00,4
139,42,True,False,78,78.00,5
140,32,True,False,53,53.00,5
141,22,True,False,18,18.00,3
142,39,True,False,50,50.00,4
143,35,True,False,50,50.00,4
144,41,True,False,68,68.00,5
145,27,True,False,43,43.00,4
146,21,True,False,14,14.00,3
147,28,True,False,46,46.00,5
148,55,True,False,66,66.00,5
149,47,True,True,88,88.00,6
150,41,True,False,58,58.00,5
151,46,True,False,52,52.00,4
152,53,True,False,71,71.00,5
153,48,True,False,63,63.00,5
154,35,True,False,43,43.00,4
155,36,True,False,37,37.00,4
156,70,True,False,93,93.00,5
157,33,True,False,55,55.00,5
158,47,True,True,96,96.00,6
159,50,True,False,71,71.00,5
160,41,True,False,66,66.00,5
161,45,True,False,71,71.00,5
162,49,True,False,84,84.00,5
163,33,True,False,38,38.00,4
164,54,True,False,62,62.00,5
165,63,True,False,96,96.00,5
166,48,True,False,57,57.00,4
167,26,True,False,37,37.00,4
168,59,True,True,95,95.00,6
169,61,True,False,87,87.00,5
170,53,True,True,89,89.00,6
171,61,True,False,100,100.00,5
172,49,True,False,64,64.00,5
173,30,True,False,27,27.00,4
174,53,True,False,78,78.00,5
175,39,True,False,34,34.00,4
176,37,True,False,65,65.00,5
177,27,True,False,39,39.00,4
178,49,True,True,96,96.00,6
179,40,True,False,50,50.00,4
180,29,True,False,34,34.00,4
181,47,True,False,78,78.00,5
182,61,True,True,95,95.00,6
183,54,True,False,84,84.00,5
184,39,True,False,45,45.00,4
185,52,True,False,76,76.00,5
186,63,True,False,81,81.00,5
187,40,True,False,53,53.00,5
188,33,True,False,34,34.00,4
189,57,True,False,98,98.00,5
190,32,True,False,59,59.00,5
191,26,True,False,33,33.00,4
192,59,True,False,105,105.00,5
193,60,True,False,90,90.00,5
194,32,True,False,41,41.00,4
195,42,True,False,69,69.00,5
196,33,True,False,53,53.00,5
197,42,True,False,64,64.00,5
198,40,True,False,52,52.00,4
199,50,True,False,90,90.00,5
200,47,True,False,73,73.00,5
201,40,True,False,68,68.00,5
202,47,True,False,67,67.00,5
203,29,True,False,36,36.00,4
204,36,True,True,89,89.00,6
205,20,True,False,18,18.00,3
206,54,True,False,87,87.00,5
207,30,True,False,43,43.00,4
208,47,True,False,65,65.00,5
209,30,True,False,30,30.00,3
210,40,True,False,64,64.00,5
211,58,True,False,73,73.00,5
212,41,True,False,41,41.00,4
213,12,True,False,7,7.00,3
214,51,True,False,67,67.00,5
215,34,True,False,46,46.00,4
216,23,True,False,19,19.00,3
217,53,True,True,85,85.00,6
218,65,True,True,109,109.00,6
219,21,True,False,16,16.00,3
220,29,True,False,29,29.00,4
221,64,True,False,76,76.00,5
222,40,True,False,46,46.00,4
223,38,True,False,48,48.00,4
224,50,True,False,70,70.00,5
225,54,True,False,76,76.00,5
226,76,True,False,101,101.00,5
227,49,True,False,75,75.00,5
228,40,True,False,59,59.00,5
229,65,True,False,94,94.00,5
230,29,True,False,36,36.00,4
231,34,True,False,52,52.00,5
232,28,True,False,37,37.00,4
233,24,True,False,23,23.00,3
234,44,True,False,70,70.00,5
235,50,True,False,61,61.00,5
236,65,True,False,91,91.00,5
237,40,True,False,45,45.00,4
238,56,True,False,76,76.00,5
239,38,True,False,54,54.00,4
240,51,True,False,80,80.00,5
241,51,True,False,77,77.00,5
242,53,True,False,73,73.00,5
243,52,True,False,71,71.00,5
244,25,True,False,36,36.00,4
245,23,True,False,13,13.00,3
246,45,True,False,75,75.00,5
247,30,True,False,36,36.00,4
248,49,True,True,91,91.00,6
249,53,True,False,71,71.00,5
250,54,True,False,73,73.00,5
251,48,True,False,83,83.00,5
252,48,True,False,64,64.00,5
253,24,True,False,32,32.00,4
254,33,True,False,43,43.00,4
255,57,True,True,89,89.00,6
256,57,True,True,89,89.00,6
257,38,True,False,41,41.00,4
258,55,True,False,80,80.00,5
259,46,True,False,50,50.00,4
260,70,True,False,91,91.00,5
261,32,True,False,58,58.00,5
262,51,True,True,93,93.00,6
263,45,True,False,61,61.00,5
264,60,True,False,82,82.00,5
265,39,True,False,54,54.00,4
266,56,True,False,83,83.00,5
267,54,True,False,78,78.00,5
268,31,True,False,43,43.00,4
269,36,True,False,39,39.00,4
270,32,True,False,43,43.00,4
271,34,True,False,55,55.00,5
272,49,True,True,88,88.00,6
273,47,True,False,48,48.00,5
